TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonical
CoLxBU,xBU,,,xBJ,,,,,Geohollandia,,,,,,,,,,,,,Geohollandia,,,,GENUS,,,,,ACCEPTED,,,,,,Geohollandia
CoLxBS,xBS,,,xBJ,,,,,Ctenidiosomus,,,,,,,,,,,,,Ctenidiosomus,,,,GENUS,,,,,ACCEPTED,,,,,,Ctenidiosomus
CoLxBQ,xBQ,,,xBJ,,,,,Bibikovana,,,,,,,,,,,,,Bibikovana,,,,GENUS,,,,,ACCEPTED,,,,,,Bibikovana
CoLxBN,xBN,,,xBJ,,,,,Austropsylla,,,,,,,,,,,,,Austropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Austropsylla
CoLxBE,xBE,,,xB8,,,,,Lycopsylla,,,,,,,,,,,,,Lycopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Lycopsylla
CoLxBG,xBG,,,xB8,,,,,Uropsylla,,,,,,,,,,,,,Uropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Uropsylla
CoLxBC,xBC,,,xB8,,,,,Choristopsylla,,,,,,,,,,,,,Choristopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Choristopsylla
CoLxBA,xBA,,,xB8,,,,,Bradiopsylla,,,,,,,,,,,,,Bradiopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Bradiopsylla
CoLxE2,xE2,,,xL,,,,,Tiflovia,,,,,,,,,,,,,Tiflovia,,,,GENUS,,,,,ACCEPTED,,,,,,Tiflovia
CoLxE4,xE4,,,xL,,,,,Traubia,,,,,,,,,,,,,Traubia,,,,GENUS,,,,,ACCEPTED,,,,,,Traubia
CoLxDY,xDY,,,xL,,,,,Striopsylla,,,,,,,,,,,,,Striopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Striopsylla
CoLxE6,xE6,,,xL,,,,,Zyx,,,,,,,,,,,,,Zyx,,,,GENUS,,,,,ACCEPTED,,,,,,Zyx
CoLxDW,xDW,,,xL,,,,,Smitella,,,,,,,,,,,,,Smitella,,,,GENUS,,,,,ACCEPTED,,,,,,Smitella
CoLxDU,xDU,,,xL,,,,,Rectidigitus,,,,,,,,,,,,,Rectidigitus,,,,GENUS,,,,,ACCEPTED,,,,,,Rectidigitus
CoLxC8,xC8,,,xL,,,,,Afristivalius,,,,,,,,,,,,,Afristivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Afristivalius
CoLxCL,xCL,,,xL,,,,,Lentistivalius,,,,,,,,,,,,,Lentistivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Lentistivalius
CoLxCN,xCN,,,xL,,,,,Medwayella,,,,,,,,,,,,,Medwayella,,,,GENUS,,,,,ACCEPTED,,,,,,Medwayella
CoLxCQ,xCQ,,,xL,,,,,Metastivalius,,,,,,,,,,,,,Metastivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Metastivalius
CoLxCA,xCA,,,xL,,,,,Astivalius,,,,,,,,,,,,,Astivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Astivalius
CoLxCC,xCC,,,xL,,,,,Aviostivalius,,,,,,,,,,,,,Aviostivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Aviostivalius
CoLxCE,xCE,,,xL,,,,,Ernestinia,,,,,,,,,,,,,Ernestinia,,,,GENUS,,,,,ACCEPTED,,,,,,Ernestinia
CoLxCG,xCG,,,xL,,,,,Gryphopsylla,,,,,,,,,,,,,Gryphopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Gryphopsylla
CoLxCJ,xCJ,,,xL,,,,,Idiochaetis,,,,,,,,,,,,,Idiochaetis,,,,GENUS,,,,,ACCEPTED,,,,,,Idiochaetis
CoLxD2,xD2,,,xL,,,,,Parastivalius,,,,,,,,,,,,,Parastivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Parastivalius
CoLxCU,xCU,,,xL,,,,,Obtusifrontia,,,,,,,,,,,,,Obtusifrontia,,,,GENUS,,,,,ACCEPTED,,,,,,Obtusifrontia
CoLxCS,xCS,,,xL,,,,,Muesebeckella,,,,,,,,,,,,,Muesebeckella,,,,GENUS,,,,,ACCEPTED,,,,,,Muesebeckella
CoLxCY,xCY,,,xL,,,,,Papuapsylla,,,,,,,,,,,,,Papuapsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Papuapsylla
CoLxCW,xCW,,,xL,,,,,Orthopsylloides,,,,,,,,,,,,,Orthopsylloides,,,,GENUS,,,,,ACCEPTED,,,,,,Orthopsylloides
CoLx7W,x7W,,,xL,,,,,Nestivalius,,,,,,,,,,,,,Nestivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Nestivalius
CoLxN,xN,,,xL,,,,,Stivalius,,,,,,,,,,,,,Stivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Stivalius
CoLx58,x58,,,xL,,,,,Farhangia,,,,,,,,,,,,,Farhangia,,,,GENUS,,,,,ACCEPTED,,,,,,Farhangia
CoLx9W,x9W,,,x9U,,,,,Tunga,,,,,,,,,,,,,Tunga,,,,GENUS,,,,,ACCEPTED,,,,,,Tunga
CoLxA2,xA2,,,x9U,,,,,Hectopsylla,,,,,,,,,,,,,Hectopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Hectopsylla
CoLx9Y,x9Y,,,x9U,,,,,Neotunga,,,,,,,,,,,,,Neotunga,,,,GENUS,,,,,ACCEPTED,,,,,,Neotunga
CoLxA4,xA4,,,x9U,,,,,Rhynchopsyllus,,,,,,,,,,,,,Rhynchopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Rhynchopsyllus
CoLx8W,x8W,,,xE,,,,,Moeopsylla,,,,,,,,,,,,,Moeopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Moeopsylla
CoLx8Q,x8Q,,,xE,,,,,Centetipsylla,,,,,,,,,,,,,Centetipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Centetipsylla
CoLx8S,x8S,,,xE,,,,,Ctenocephalides,,,,,,,,,,,,,Ctenocephalides,,,,GENUS,,,,,ACCEPTED,,,,,,Ctenocephalides
CoLx8L,x8L,,,xE,,,,,Aphropsylla,,,,,,,,,,,,,Aphropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Aphropsylla
CoLx8N,x8N,,,xE,,,,,Archaeopsylla,,,,,,,,,,,,,Archaeopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Archaeopsylla
CoLx92,x92,,,xE,,,,,Pulex,,,,,,,,,,,,,Pulex,,,,GENUS,,,,,ACCEPTED,,,,,,Pulex
CoLx8Y,x8Y,,,xE,,,,,Delopsylla,,,,,,,,,,,,,Delopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Delopsylla
CoLx94,x94,,,xE,,,,,Actenopsylla,,,,,,,,,,,,,Actenopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Actenopsylla
CoLx96,x96,,,xE,,,,,Cediopsylla,,,,,,,,,,,,,Cediopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Cediopsylla
CoLx98,x98,,,xE,,,,,Euchoplopsyllus,,,,,,,,,,,,,Euchoplopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Euchoplopsyllus
CoLx9C,x9C,,,xE,,,,,Ornithopsylla,,,,,,,,,,,,,Ornithopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Ornithopsylla
CoLx9A,x9A,,,xE,,,,,Hoplopsyllus,,,,,,,,,,,,,Hoplopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Hoplopsyllus
CoLx9G,x9G,,,xE,,,,,Parapulex,,,,,,,,,,,,,Parapulex,,,,GENUS,,,,,ACCEPTED,,,,,,Parapulex
CoLx9E,x9E,,,xE,,,,,Spilopsyllus,,,,,,,,,,,,,Spilopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Spilopsyllus
CoLx9L,x9L,,,xE,,,,,Procaviopsylla,,,,,,,,,,,,,Procaviopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Procaviopsylla
CoLx9J,x9J,,,xE,,,,,Pariodontis,,,,,,,,,,,,,Pariodontis,,,,GENUS,,,,,ACCEPTED,,,,,,Pariodontis
CoLx9Q,x9Q,,,xE,,,,,Synopsyllus,,,,,,,,,,,,,Synopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Synopsyllus
CoLx9N,x9N,,,xE,,,,,Pulicella,,,,,,,,,,,,,Pulicella,,,,GENUS,,,,,ACCEPTED,,,,,,Pulicella
CoLx9S,x9S,,,xE,,,,,Synosternus,,,,,,,,,,,,,Synosternus,,,,GENUS,,,,,ACCEPTED,,,,,,Synosternus
CoLxG,xG,,,xE,,,,,Xenopsylla,,,,,,,,,,,,,Xenopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Xenopsylla
CoLx5N,x5N,,,xE,,,,,Echidnophaga,,,,,,,,,,,,,Echidnophaga,,,,GENUS,,,,,ACCEPTED,,,,,,Echidnophaga
CoLxAS,xAS,,,x68,,,,,Vermipsylla,,,,,,,,,,,,,Vermipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Vermipsylla
CoLx82,x82,,,x68,,,,,Dorcadia,,,,,,,,,,,,,Dorcadia,,,,GENUS,,,,,ACCEPTED,,,,,,Dorcadia
CoLx6A,x6A,,,x68,,,,,Chaetopsylla,,,,,,,,,,,,,Chaetopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Chaetopsylla
CoLxG2,xG2,,,x5C,,,,,Stephanopsylla,,,,,,,,,,,,,Stephanopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Stephanopsylla
CoLx5E,x5E,,,x5C,,,,,Macropsylla,,,,,,,,,,,,,Macropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Macropsylla
CoLxA8,xA8,,,xA6,,,,,Malacopsylla,,,,,,,,,,,,,Malacopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Malacopsylla
CoLxAA,xAA,,,xA6,,,,,Phthiropsylla,,,,,,,,,,,,,Phthiropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Phthiropsylla
CoLxAN,xAN,,,x4U,,,,,Rhopalopsyllus,,,,,,,,,,,,,Rhopalopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Rhopalopsyllus
CoLxAQ,xAQ,,,x4U,,,,,Scolopsyllus,,,,,,,,,,,,,Scolopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Scolopsyllus
CoLxAC,xAC,,,x4U,,,,,Delostichus,,,,,,,,,,,,,Delostichus,,,,GENUS,,,,,ACCEPTED,,,,,,Delostichus
CoLxAG,xAG,,,x4U,,,,,Eritranis,,,,,,,,,,,,,Eritranis,,,,GENUS,,,,,ACCEPTED,,,,,,Eritranis
CoLxAE,xAE,,,x4U,,,,,Listronius,,,,,,,,,,,,,Listronius,,,,GENUS,,,,,ACCEPTED,,,,,,Listronius
CoLxAJ,xAJ,,,x4U,,,,,Tetrapsyllus,,,,,,,,,,,,,Tetrapsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Tetrapsyllus
CoLxAL,xAL,,,x4U,,,,,Polygenis,,,,,,,,,,,,,Polygenis,,,,GENUS,,,,,ACCEPTED,,,,,,Polygenis
CoLx6J,x6J,,,x4U,,,,,Parapsyllus,,,,,,,,,,,,,Parapsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Parapsyllus
CoLx4W,x4W,,,x4U,,,,,Ectinorus,,,,,,,,,,,,,Ectinorus,,,,GENUS,,,,,ACCEPTED,,,,,,Ectinorus
CoLx4Y,x4Y,,,x4U,,,,,Tiamastus,,,,,,,,,,,,,Tiamastus,,,,GENUS,,,,,ACCEPTED,,,,,,Tiamastus
CoLxE8,xE8,,,x4G,,,,,Anomiopsyllus,,,,,,,,,,,,,Anomiopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Anomiopsyllus
CoLxEC,xEC,,,x4G,,,,,Conorhinopsylla,,,,,,,,,,,,,Conorhinopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Conorhinopsylla
CoLxEE,xEE,,,x4G,,,,,Eopsylla,,,,,,,,,,,,,Eopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Eopsylla
CoLxEA,xEA,,,x4G,,,,,Callistopsyllus,,,,,,,,,,,,,Callistopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Callistopsyllus
CoLxEJ,xEJ,,,x4G,,,,,Stenistomera,,,,,,,,,,,,,Stenistomera,,,,GENUS,,,,,ACCEPTED,,,,,,Stenistomera
CoLxEG,xEG,,,x4G,,,,,Megarthroglossus,,,,,,,,,,,,,Megarthroglossus,,,,GENUS,,,,,ACCEPTED,,,,,,Megarthroglossus
CoLxDQ,xDQ,,,x4G,,,,,Trichopsylloides,,,,,,,,,,,,,Trichopsylloides,,,,GENUS,,,,,ACCEPTED,,,,,,Trichopsylloides
CoLxDS,xDS,,,x4G,,,,,Wenzella,,,,,,,,,,,,,Wenzella,,,,GENUS,,,,,ACCEPTED,,,,,,Wenzella
CoLxEL,xEL,,,x4G,,,,,Wagnerina,,,,,,,,,,,,,Wagnerina,,,,GENUS,,,,,ACCEPTED,,,,,,Wagnerina
CoLxEN,xEN,,,x4G,,,,,Agastopsylla,,,,,,,,,,,,,Agastopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Agastopsylla
CoLxEQ,xEQ,,,x4G,,,,,Carteretta,,,,,,,,,,,,,Carteretta,,,,GENUS,,,,,ACCEPTED,,,,,,Carteretta
CoLxEU,xEU,,,x4G,,,,,Neotyphloceras,,,,,,,,,,,,,Neotyphloceras,,,,GENUS,,,,,ACCEPTED,,,,,,Neotyphloceras
CoLxES,xES,,,x4G,,,,,Chiliopsylla,,,,,,,,,,,,,Chiliopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Chiliopsylla
CoLxF2,xF2,,,x4G,,,,,Doratopsylla,,,,,,,,,,,,,Doratopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Doratopsylla
CoLxEY,xEY,,,x4G,,,,,Corrodopsylla,,,,,,,,,,,,,Corrodopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Corrodopsylla
CoLxEW,xEW,,,x4G,,,,,Acedestia,,,,,,,,,,,,,Acedestia,,,,GENUS,,,,,ACCEPTED,,,,,,Acedestia
CoLxFE,xFE,,,x4G,,,,,Genoneopsylla,,,,,,,,,,,,,Genoneopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Genoneopsylla
CoLxFG,xFG,,,x4G,,,,,Paraneopsylla,,,,,,,,,,,,,Paraneopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Paraneopsylla
CoLxFA,xFA,,,x4G,,,,,Rothschildiana,,,,,,,,,,,,,Rothschildiana,,,,GENUS,,,,,ACCEPTED,,,,,,Rothschildiana
CoLxFC,xFC,,,x4G,,,,,Tamiophila,,,,,,,,,,,,,Tamiophila,,,,GENUS,,,,,ACCEPTED,,,,,,Tamiophila
CoLxFL,xFL,,,x4G,,,,,Typhloceras,,,,,,,,,,,,,Typhloceras,,,,GENUS,,,,,ACCEPTED,,,,,,Typhloceras
CoLxFJ,xFJ,,,x4G,,,,,Delotelis,,,,,,,,,,,,,Delotelis,,,,GENUS,,,,,ACCEPTED,,,,,,Delotelis
CoLxF6,xF6,,,x4G,,,,,Adoratopsylla,,,,,,,,,,,,,Adoratopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Adoratopsylla
CoLxF4,xF4,,,x4G,,,,,Idilla,,,,,,,,,,,,,Idilla,,,,GENUS,,,,,ACCEPTED,,,,,,Idilla
CoLxF8,xF8,,,x4G,,,,,Listropsylla,,,,,,,,,,,,,Listropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Listropsylla
CoLxDE,xDE,,,x4G,,,,,Strepsylla,,,,,,,,,,,,,Strepsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Strepsylla
CoLxDC,xDC,,,x4G,,,,,Phalacropsylla,,,,,,,,,,,,,Phalacropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Phalacropsylla
CoLxDA,xDA,,,x4G,,,,,Meringis,,,,,,,,,,,,,Meringis,,,,GENUS,,,,,ACCEPTED,,,,,,Meringis
CoLxD8,xD8,,,x4G,,,,,Epitedia,,,,,,,,,,,,,Epitedia,,,,GENUS,,,,,ACCEPTED,,,,,,Epitedia
CoLxDN,xDN,,,x4G,,,,,Atyphloceras,,,,,,,,,,,,,Atyphloceras,,,,GENUS,,,,,ACCEPTED,,,,,,Atyphloceras
CoLxDL,xDL,,,x4G,,,,,Ctenoparia,,,,,,,,,,,,,Ctenoparia,,,,GENUS,,,,,ACCEPTED,,,,,,Ctenoparia
CoLxDG,xDG,,,x4G,,,,,Corypsylla,,,,,,,,,,,,,Corypsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Corypsylla
CoLxDJ,xDJ,,,x4G,,,,,Stenoponia,,,,,,,,,,,,,Stenoponia,,,,GENUS,,,,,ACCEPTED,,,,,,Stenoponia
CoLxD4,xD4,,,x4G,,,,,Nearctopsylla,,,,,,,,,,,,,Nearctopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Nearctopsylla
CoLxD6,xD6,,,x4G,,,,,Paratyphloceras,,,,,,,,,,,,,Paratyphloceras,,,,GENUS,,,,,ACCEPTED,,,,,,Paratyphloceras
CoLx7U,x7U,,,x4G,,,,,Xenodaeria,,,,,,,,,,,,,Xenodaeria,,,,GENUS,,,,,ACCEPTED,,,,,,Xenodaeria
CoLx8J,x8J,,,x4G,,,,,Liuopsylla,,,,,,,,,,,,,Liuopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Liuopsylla
CoLx6E,x6E,,,x4G,,,,,Palaeopsylla,,,,,,,,,,,,,Palaeopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Palaeopsylla
CoLx5U,x5U,,,x4G,,,,,Jordanopsylla,,,,,,,,,,,,,Jordanopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Jordanopsylla
CoLx5W,x5W,,,x4G,,,,,Neopsylla,,,,,,,,,,,,,Neopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Neopsylla
CoLx62,x62,,,x4G,,,,,Stenischia,,,,,,,,,,,,,Stenischia,,,,GENUS,,,,,ACCEPTED,,,,,,Stenischia
CoLx6C,x6C,,,x4G,,,,,Dinopsyllus,,,,,,,,,,,,,Dinopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Dinopsyllus
CoLx5Q,x5Q,,,x4G,,,,,Hystrichopsylla,,,,,,,,,,,,,Hystrichopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Hystrichopsylla
CoLx4Q,x4Q,,,x4G,,,,,Ctenophthalmus,,,,,,,,,,,,,Ctenophthalmus,,,,GENUS,,,,,ACCEPTED,,,,,,Ctenophthalmus
CoLx52,x52,,,x4G,,,,,Rhadinopsylla,,,,,,,,,,,,,Rhadinopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Rhadinopsylla
CoLx4J,x4J,,,x4G,,,,,Catallagia,,,,,,,,,,,,,Catallagia,,,,GENUS,,,,,ACCEPTED,,,,,,Catallagia
CoLxFW,xFW,,,x4L,,,,,Epirimia,,,,,,,,,,,,,Epirimia,,,,GENUS,,,,,ACCEPTED,,,,,,Epirimia
CoLxFY,xFY,,,x4L,,,,,Macroscelidopsylla,,,,,,,,,,,,,Macroscelidopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Macroscelidopsylla
CoLxFS,xFS,,,x4L,,,,,Chimaeropsylla,,,,,,,,,,,,,Chimaeropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Chimaeropsylla
CoLxFU,xFU,,,x4L,,,,,Demeillionia,,,,,,,,,,,,,Demeillionia,,,,GENUS,,,,,ACCEPTED,,,,,,Demeillionia
CoLxFN,xFN,,,x4L,,,,,Cryptopsylla,,,,,,,,,,,,,Cryptopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Cryptopsylla
CoLxFQ,xFQ,,,x4L,,,,,Praeopsylla,,,,,,,,,,,,,Praeopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Praeopsylla
CoLx4N,x4N,,,x4L,,,,,Chiastopsylla,,,,,,,,,,,,,Chiastopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Chiastopsylla
CoLx54,x54,,,x4L,,,,,Hypsophthalmus,,,,,,,,,,,,,Hypsophthalmus,,,,GENUS,,,,,ACCEPTED,,,,,,Hypsophthalmus
CoLx4,x4,,,,,,,,Animalia,,,,,,,,Animalia,,,,,,,,,KINGDOM,,,,,ACCEPTED,,,,,,Animalia
ITIS202423,202423,202423,,,,,,,Animalia,,,,,,,,Animalia,,,,,,,,,kingdom,,,,,valid,,,,,,Animalia
CoLxA,xA,,,x8,,,,,Siphonaptera,,,,,,,,,,,Siphonaptera,,,,,,ORDER,,,,,ACCEPTED,,,,,,Siphonaptera
CoLx6,x6,,,x4,,,,,Arthropoda,,,,,,,,,Arthropoda,,,,,,,,PHYLUM,,,,,ACCEPTED,,,,,,Arthropoda
CoLxG4,xG4,,,xA,,,,,Stephanocircidoidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Stephanocircidoidea,,Stephanocircidoidea
CoLxB2,xB2,,,xA,,,,,Ancistropsylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Ancistropsylloidea,,Ancistropsylloidea
CoLxAU,xAU,,,xA,,,,,Coptopsylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Coptopsylloidea,,Coptopsylloidea
CoLxQ,xQ,,,xA,,,,,Ceratophylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Ceratophylloidea,,Ceratophylloidea
CoLxJ,xJ,,,xA,,,,,Pygiopsylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Pygiopsylloidea,,Pygiopsylloidea
CoLxC,xC,,,xA,,,,,Pulicoidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Pulicoidea,,Pulicoidea
CoLx66,x66,,,xA,,,,,Vermipsylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Vermipsylloidea,,Vermipsylloidea
CoLx5A,x5A,,,xA,,,,,Macropsylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Macropsylloidea,,Macropsylloidea
CoLx4S,x4S,,,xA,,,,,Malacopsylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Malacopsylloidea,,Malacopsylloidea
CoLx4E,x4E,,,xA,,,,,Hystrichopsylloidea,,,,,,,,,,,,,,,,,SUPERFAMILY,,,,,ACCEPTED,,,,Hystrichopsylloidea,,Hystrichopsylloidea
